K,seed,avg_state_frac,avg_obs_frac,avg_frac,V_full,V_max,V_proj,certificate,true_error,valid
6,7,0.21999999999999997,0.275,0.2475,13.619825877144239,40.0,3.9350885452048807,29.851120220810664,9.684737331939358,1
6,8,0.23749999999999996,0.22999999999999998,0.23374999999999996,13.619825877144239,40.0,2.563092758856831,32.09626661666636,11.056733118287408,1
6,9,0.19999999999999998,0.3125,0.25625,13.619825877144239,40.0,3.993350383716284,27.232552040115134,9.626475493427954,1
8,0,0.24084507042253517,0.35,0.2954225352112676,13.619825877144239,40.0,6.55080699779224,23.11502933280041,7.069018879351999,1
8,1,0.2354166666666667,0.29374999999999996,0.26458333333333334,13.619825877144239,40.0,7.297740860141903,24.561456310802043,6.322085017002336,1
8,2,0.2731707317073171,0.3076923076923077,0.2904315196998124,13.619825877144239,40.0,6.588171564385439,26.691185378588393,7.0316543127588,1
8,3,0.25,0.29375000000000007,0.27187500000000003,13.619825877144239,40.0,9.72652780185867,21.032111992384454,3.8932980752855695,1
8,4,0.24590163934426224,0.35294117647058826,0.2994214079074252,13.619825877144239,40.0,10.371525488618701,16.652165923247917,3.2483003885255375,1
8,5,0.24531250000000002,0.33157894736842103,0.2884457236842105,13.619825877144239,40.0,10.247923441056791,18.804736106481975,3.3719024360874474,1
8,6,0.23773584905660372,0.32499999999999996,0.28136792452830184,13.619825877144239,40.0,5.897191738888686,27.174131524712532,7.722634138255553,1
8,7,0.252,0.30625,0.279125,13.619825877144239,40.0,7.365977225373661,23.396106533439475,6.253848651770578,1
8,8,0.20322580645161295,0.3333333333333333,0.26827956989247315,13.619825877144239,40.0,2.5313369362113924,32.23342738103298,11.088488940932846,1
8,9,0.22553191489361693,0.2875,0.25651595744680844,13.619825877144239,40.0,4.225565512499261,27.675660679418478,9.394260364644978,1
